,Device:,Circuit ID:,ifName:,snmpIndex:,Read Community:,Device Type:
,wrt01.jfk2 (10.82.255.1),FBDK/1066569//ZFS,Eth1/5,436209664,5CardStud,Nexus9000 93180YC-EX
,wrt01.jfk2 (10.82.255.1),FBDK/863206//ZFS,Eth1/51,436233216,5CardStud,Nexus9000 93180YC-EX
,wrt01.jfk2 (10.82.255.1),BDBJ8976,Eth1/52,436233728,5CardStud,Nexus9000 93180YC-EX
,wrt02.jfk2 (10.82.255.2),BCKB1277,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,wrt02.jfk2 (10.82.255.2),FBDK/1048987//ZFS,Eth1/5,436209664,5CardStud,Nexus9000 93180YC-EX
,wrt02.jfk2 (10.82.255.2),FBDK/863206//ZFS,Eth1/51,436233216,5CardStud,Nexus9000 93180YC-EX
,wrt02.jfk2 (10.82.255.2),BDBJ9052,Eth1/52,436233728,5CardStud,Nexus9000 93180YC-EX
,,,,,,
CORP,twitr-cor-0201 (10.147.1.1),HFN01628,Te2/1/3,112,5CardStud,cisco WS-C4500X-32
,,,,,,
JFK4,cs01.jfk4 (10.82.255.5),FBDK/1066569//ZFS,Eth1/46,436230656,5CardStud,Nexus9000 93180YC-EX
,cs02.jfk4 (10.82.255.6),FBDK/1048987//ZFS,Eth1/46,436230656,5CardStud,Nexus9000 93180YC-EX
,,,,,,
PARTNERS,cmcsw01 (172.31.0.150),BBDZ64199,,,,
,cmcsw02 (172.25.3.2),BDHX7748,,,,
,,,,,,
120Sports,cs01.ord1 (10.86.245.225),BDKP0990,Eth1/51,436233216,5CardStud,Nexus9000 C9348GC-FXP
,cs02.ord1 (10.86.245.226),BDKP0991,Eth1/51,436233216,5CardStud,Nexus9000 C9348GC-FXP
,,,,,,
MED3,md3rt0101 (10.60.255.7),BCRW3006/BCRW3009,Te2/1,3,5CardStud,Cisco CISCO7604
,md3rt0101 (10.60.255.7),BCKH4415/BCKH4417,Te3/1,11,5CardStud,Cisco CISCO7604
,md3rt0102 (10.60.255.8),BCSD0090/BCSD0093,Te2/1,3,5CardStud,Cisco CISCO7604
,md3rt0102 (10.60.255.8),BCKD4422/BCKD4424,Te3/1,11,5CardStud,Cisco CISCO7604
,md3rs33 (10.60.255.33),BCXT2940/BCXT2944,Eth1/1,436207616,5CardStud,Nexus 3172 Chassis
,md3rs33 (10.60.255.33),BCXT2943/BBPB01107,Eth1/2,436211712,5CardStud,Nexus 3172 Chassis
,md3rs33 (10.60.255.33),BDGF0895/BDGF0896,Eth1/3,436215808,5CardStud,Nexus 3172 Chassis
,md3rs33 (10.60.255.33),BDHZ3665,Eth1/4,436219904,5CardStud,Nexus 3172 Chassis
,md3rs34 (10.60.255.34),BCXT9951/BCXT9955,Eth1/1,436207616,5CardStud,Nexus 3172 Chassis
,md3rs34 (10.60.255.34),BCXT9952/BCXT9956,Eth1/2,436211712,5CardStud,Nexus 3172 Chassis
,md3rs34 (10.60.255.34),BDGF0897/BDGF0898,Eth1/3,436215808,5CardStud,Nexus 3172 Chassis
,md3rs34 (10.60.255.34),BDJD1548,Eth1/4,436219904,5CardStud,Nexus 3172 Chassis
,md3rs35 (10.60.255.35),BCXT2935/BCXT2941,Eth1/1,436207616,5CardStud,Nexus 3172 Chassis
,md3rs35 (10.60.255.35),BCXT2927/BCXT2934,Eth1/2,436211712,5CardStud,Nexus 3172 Chassis
,md3rs35 (10.60.255.35),BDGG0701/BDGG0705,Eth1/3,436215808,5CardStud,Nexus 3172 Chassis
,md3rs35 (10.60.255.35),BDJD1546,Eth1/4,436219904,5CardStud,Nexus 3172 Chassis
,md3rs36 (10.60.255.36),BCXT9953/BCXT9957,Eth1/1,436207616,5CardStud,Nexus 3172 Chassis
,md3rs36 (10.60.255.36),BBCXT9954/BCXT9958,Eth1/2,436211712,5CardStud,Nexus 3172 Chassis
,md3rs36 (10.60.255.36),BDGG0704/BDGG0716,Eth1/3,436215808,5CardStud,Nexus 3172 Chassis
,md3rs36 (10.60.255.36),BDHZ3666,Eth1/4,436219904,5CardStud,Nexus 3172 Chassis
,md3rs28 (10.60.255.14),BCZN2463,Eth1/45,436387840,5CardStud,Nexus 5672UP Chassi
,md3rs28 (10.60.255.14),BDHT9590,Eth1/46,436391936,5CardStud,Nexus 5672UP Chassi
,md3rs29 (10.60.255.15),BCZM7566,Eth1/45,436387840,5CardStud,Nexus 5672UP Chassi
,md3rs29 (10.60.255.15),BDHT8662,Eth1/46,436391936,5CardStud,Nexus 5672UP Chassi
,,,,,,
M4A,irt01.sfo1 (10.80.255.13),GM053984,GigabitEthernet0/0/0,3,5CardStud,cisco ASR1001-X
,irt02.sfo1 (10.80.255.14),IPYX/138665//ZYO,GigabitEthernet0/0/0,3,5CardStud,cisco ASR1001-X
,m4ars31 (10.80.255.1),BCRH7505,Eth1/3,436215808,5CardStud, Nexus 3064 Chassis
,m4ars31 (10.80.255.1),BDHT8668,Eth1/11,436248576,5CardStud, Nexus 3064 Chassis
,m4ars32 (10.80.255.2),BCYR7236,Eth1/3,436215808,5CardStud, Nexus 3064 Chassis
,m4ars32 (10.80.255.2),BDHT1143,Eth1/11,436248576,5CardStud, Nexus 3064 Chassis
,,,,,,
AMS1,wrt01.ams1 (10.30.255.1),BDHR7370,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,wrt01.ams1 (10.30.255.1),BDHR7472,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,wrt02.ams1 (10.30.255.2),OGYX/140869//ZYO,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,wrt02.ams1 (10.30.255.2),ASD2150-SPHL0002/0001,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,ert01.ams1 (10.30.255.5),BDHR7372,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,ert01.ams1 (10.30.255.5),BDHR7371,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,ert02.ams1 (10.30.255.6),OGYX/140922//ZYO,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,ert02.ams1 (10.30.255.6),OGYX/140767//ZYO,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,irt01.ams1 (10.30.255.7),BBSC42955/BBSC42956,TenGigE0/0/0/2,33,5CardStud,ASR9K ASR-9001
,irt02.ams1 (10.30.255.8),IPYX/140857//ZYO,TenGigE0/0/0/2,33,5CardStud,ASR9K ASR-9001
,,,,,,
AMS2,wrt01.ams2 (10.38.255.1),BDHR7370,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,wrt02.ams2 (10.38.255.2),BDHT8739,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,,,,,,
AMS3,irt01.ams3 (10.81.255.3),BDJX6073/BDJX6074,GigabitEthernet0/0/5,8,5CardStud,cisco ASR1001-X
,irt02.ams3 (10.81.255.4),ASD0114-ASD2163/0001,GigabitEthernet0/0/5,8,5CardStud,cisco ASR1001-X
,cs01.ams3 (10.81.255.1),BDJX4733,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,cs02.ams3 (10.81.255.2),ASD2150-SPHL0002/0001,Eth1/13,436213760,5CardStud,Nexus9000 93180YC-EX
,,,,,,
LAX1,wrt01.lax1 (10.43.255.1),BDJF7257,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,wrt02.lax1 (10.43.255.2),BDJG7733,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,,,,,,
MED2,ert01.med2 (10.45.255.23),440313782,Eth1/11,436248576,5CardStud,Nexus3000 C3064PQ
,ert02.med2 (10.45.255.24),440312315,Eth1/11,436248576,5CardStud,Nexus3000 C3064PQ
,md2rs31 (10.45.255.3),BCKB1258,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),BCQN4559,Eth1/4,436209152,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),BCHR7505,Eth1/5,436209664,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),BDJF7257,Eth1/10,436212224,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),BDHT8667,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),BCYT3457,Eth1/15,436214784,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),BDKF7011,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,md2rs31 (10.45.255.3),ATT-BFEC552642,Eth1/16,436215296,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BCKB1277,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BCQN4558,Eth1/4,436209152,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BCYR7236,Eth1/5,436209664,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BDHT0910,Eth1/11,436212736,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BDKF7012,Eth1/12,436213248,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BDBH1925,Eth1/15,436214784,5CardStud,Nexus9000 93180YC-EX
,md2rs32 (10.45.255.4),BCRS6379,Eth1/16,436215296,5CardStud,Nexus9000 93180YC-EX
,md2rt0101 (10.45.255.7),BDGG1008/BDGG1010,TenGigabitEthernet3/4,6,5CardStud,Cisco CISCO7604
,md2rt0101 (10.45.255.7),BDGG1006/BDGG1007,TenGigabitEthernet3/8,10,5CardStud,Cisco CISCO7604
,md2rt0102 (10.45.255.8),BDGG1043/BDGG1044,TenGigabitEthernet3/4,6,5CardStud,Cisco CISCO7604
,md2rt0102 (10.45.255.8),BDGG1045/BDGG1047,TenGigabitEthernet3/8,10,5CardStud,Cisco CISCO7604
,md2rt41 (10.45.255.6),BCYP8727,TenGigabitEthernet4/1,11,5CardStud,Cisco CISCO7604
